,song,album,artist,popularity,track_id,track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_samples,duration,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence,genres,year,decade
3604,hey paula,60's Rock,various artists,44,4u4In6wNqXEWJnoI8KbUIf,0,0.431,0.283,7,-11.691,1,0.031,0.84,0.155,0.199,0.31,110.328,146945,3,3240128,146.94458,0.0,143.0059,0.187,1.0,0.536,0.591,['brill building pop'],1963,1960
3605,hey paula,Ultimate Oldies & Goodies - One Hit Wonders of the 50s & 60s,various artists,14,6Z5hXchgBwnaL77R2yL9EO,0,0.434,0.331,9,-11.594,1,0.0277,0.4,0.000145,0.089,0.63,97.421,164893,3,3635898,164.89333,0.80154,157.46613,0.437,0.121,0.556,0.596,['brill building pop'],1963,1960
3606,hey paula a lovers concerto,"Oldies, Goodies, Hits & Misses: '60-'65",various artists,4,0d8D2ytKIucFkH6c0RZxEt,0,0.411,0.335,9,-11.576,1,0.0288,0.401,0.000252,0.121,0.604,98.841,162893,3,3591798,162.89333,0.80154,157.46613,0.508,0.091,0.565,0.566,['brill building pop'],1963,1960
3607,i will follow him,I Will Follow Him,peggy march,50,3GQETOg4ZXyQ1jEFqfMoac,0,0.638,0.44,0,-10.892,1,0.0348,0.722,0.0,0.515,0.904,125.495,148160,4,3266928,148.16,0.42381,140.66068,0.496,1.0,0.434,0.454,['brill building pop'],1963,1960
3608,i will follow him chariot,Nipper's Greatests Hits 60's Vol. 1,various artists,20,7dFKoNC2k5qgbXrbcMCHQ0,0,0.633,0.562,0,-7.178,1,0.0347,0.521,0.0,0.0956,0.799,125.108,147400,4,3250170,147.4,0.34277,138.65215,0.393,1.0,0.457,0.461,['brill building pop'],1963,1960
3609,sukiyaki,Lost Hits Of The 60's (All Original Artists & Versions),various artists,45,6meIeOX3DHdaCnaNw67abE,0,0.415,0.359,7,-11.094,1,0.0334,0.707,6.53e-05,0.319,0.404,146.029,189520,4,4178916,189.52,0.52599,181.1737,0.361,0.935,0.453,0.517,['enka'],1963,1960
3610,so much in love,So Much In Love,the tymes,43,6h0LLmMVZY108wNzD5UM6O,0,0.546,0.494,4,-10.39,1,0.034,0.787,0.000111,0.453,0.44,75.655,140467,4,3097290,140.46667,0.0,130.72833,0.422,0.583,0.244,0.34,"['beach music', 'brill building pop', 'doo-wop', 'motown', 'philly soul', 'rhythm and blues']",1963,1960
3611,so much in love  single versionbonus track,So Much In Love,the tymes,23,6r2443Uvg4L9WOR9m2mHSx,0,0.548,0.493,4,-10.093,1,0.0328,0.806,6.74e-05,0.639,0.599,75.634,130093,4,2868558,130.09332,0.64762,120.35483,0.537,0.676,0.0,0.116,"['beach music', 'brill building pop', 'doo-wop', 'motown', 'philly soul', 'rhythm and blues']",1963,1960
3612,rock with you  single version,Off the Wall,michael jackson,73,7oOOI85fVQvVnK5ynNMdW7,0,0.808,0.535,1,-12.521,1,0.0353,0.179,9.91e-05,0.158,0.848,114.031,220627,4,4864818,220.62666,0.0,214.32599,0.895,0.861,0.0,0.189,"['pop', 'r&b', 'soul']",1980,1980
3613,rock with you,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",michael jackson,55,5yxIenY5kSLlgTr3XGYw9p,0,0.793,0.741,1,-6.494,1,0.0393,0.0794,0.00029,0.116,0.856,114.489,220040,4,4851882,220.04,0.30295,213.6468,0.812,0.888,0.365,0.374,"['pop', 'r&b', 'soul']",1980,1980
